第7439次会议，2015年5月11日举行。	7439th meeting, held on 11 May 2015.
第6款	Section 6
4. 最悲剧的事件发生在2015年5月7日星期四，一家电信公司的一名普通布隆迪工人在尼亚卡比加市区被活活烧死，原因仅仅是他不为示威者所识，被示威者强行视作青年团成员。	4. The most dramatic incident occurred on Thursday, 7 May 2015, when an ordinary Burundian citizen working for a telecommunications company was burned alive in the urban district of Nyakabiga simply because he was unknown to the demonstrators and treated ipso facto as a member of the Imbonerakure.
21. 继续欢迎2013年2月12日的安全理事会主席声明， 安理会在其中再次申明先前发出的关于各国必须根据各自义务与国际刑事法院开展合作的呼吁，并表示承诺切实跟踪安理会在这方面的决定；	21. Continues to welcome the statement by the President of the Security Council of 12 February 2013 in which the Council reiterated its previous call regarding the importance of State cooperation with the International Criminal Court in accordance with the respective obligations of States, and expressed its commitment to effective follow-up of Council decisions in this regard;
考虑到联合国所有会员国对维持和平作出的贡献，	Considering the contribution that all States Members of the United Nations make to peacekeeping,
处理这些申请的费用估计数约为560 000美元。	The estimated cost of processing those applications would be approximately $560,000.
4. 初步拟定处理费数额为110 000美元，是根据秘书处行政和管理处提供的临时估计数得出的。	4. The initial proposed processing fee of $110,000 was based on a provisional estimate provided by the Office of Administration and Management of the secretariat.
4. 在2014年10月20日第1245次会议上，委员会主席妮科尔·阿姆利娜宣布委员会第五十九届会议开幕。	4. At its 1245th meeting, on 20 October 2014, the session was opened by the Chair of the Committee, Nicole Ameline.
圣文森特和格林纳丁斯	Saint Vincent and the Grenadines
非洲联盟正在采取措施增加对和平与安全工作的拨款；2015年1月非洲联盟首脑会议决定，把非洲联盟成员国摊款的25%用于和平行动。	There are efforts under way to increase the allocation of African Union-assessed funding to its peace and security efforts; the January 2015 African Union Summit decided to allocate 25 per cent of the assessed contributions of African Union member States to peace operations.
展望未来，必须继续总结经验，确保每个组织将其纳入指导意见。	Moving forward, it is important to continue to capture lessons together and ensure that each organization incorporates them into its guidance.
50. 委员会商定2015-2016两年期工作方案如下：	50. The Committee agreed that the programme of work for the biennium 2015-2016 should be as follows:
服务交付事务处(原行政事务处)	Service Delivery Services (former Administrative Services)
委员会还可以设立会期工作组，审议具体议程项目。	The Commission may also establish in-session working groups to consider specific agenda items.
这一举措似乎旨在调整太空计划，以便实现更为实际和现实的目标(尤其是关于卫星发射)。	This move appears to be aimed at restructuring the space programme with more practical and realistic objectives, in particular regarding satellite launches.
28. 与以往各次任务不同，在本任务期间，委员会没有接到关于伊朗伊斯兰共和国转让常规武器和相关物资的报告。	28. Unlike every previous mandate, during the current mandate no transfers of conventional arms and related materiel by the Islamic Republic of Iran were reported to the Committee.
16. 在电信方面，据管理国称，约75%的家庭已接通宽带因特网。	16. Concerning telecommunications, according to the administering Power, approximately 75 per cent of households are connected via broadband to the Internet.
15. 执行局将与安全理事会第1267(1999)、第1989(2011)号决议以及第1540(2004)号决议所设委员会密切合作，根据其任务规定，继续协助委员会特别关注缺乏相关决议执行情况资料的会员国，并讨论如何最好地加强委员会与这些国家的对话。	15. The Executive Directorate, in close cooperation with the expert groups of the Security Council Committee pursuant to resolutions 1267 (1999) and 1989 (2011) and the Committee established pursuant to resolution 1540 (2004), and in accordance with its mandate, will continue to assist the work of the Committee in paying special attention to Member States for which information on the implementation of relevant resolutions is lacking, and to discuss how best to enhance the Committee's dialogue with those States.
委员会将进一步考虑执行局提供的关于与国际、区域和次区域组织、发展实体、民间社会、学术界及其他实体接触的资料，并加强与它们的伙伴关系，以便在考虑到第2178(2014)号决议规定的新要求情况下，进行研究、收集资料、确定良好做法，支持委员会努力推动执行第1373(2001)号和第1624(2005)号决议。	The Committee will further consider information from the Executive Directorate on its engagement and the enhancement of partnerships with international, regional and subregional organizations, development entities, civil society, academia and other entities in conducting research and information-gathering and identifying good practices, in support of the Committee's efforts to promote the implementation of resolutions 1373 (2001) and 1624 (2005), taking into account the new requirements set out in resolution 2178 (2014).
这些恐怖主义行径的目的还在于破坏联盟领导人为支持也门的合法性而采取的人道主义行动举措，这些举措旨在于特定时间段内实施人道主义暂停，以便执行举措，交付人道主义援助，满足也门人民的各种需求。	Those terrorist acts also aim to undermine the humanitarian action initiative by the leadership of the coalition in support of legitimacy in Yemen to respond to the needs of the Yemeni people through the implementation of humanitarian pauses for specified periods in order to carry out the initiative and deliver humanitarian aid.
不过，他还指出，在对被指称的生父进行检查、履行司法程序和商定子女抚养安排等方面仍存在障碍(同上，第27段)。	He also indicates, however, that hurdles remain in terms of having the alleged fathers tested, judicial proceeding conducted and child support arrangements agreed upon (ibid., para. 27).
太平洋普惠金融方案与斐济教育部合作，将金融教育纳入了国家教学大纲，以致金融教育现已被充分纳入核心课程，而教学大纲的执行工作将贯穿2015年全年。	The Pacific Financial Inclusion Programme (PFIP) worked with the Ministry of Education in Fiji to embed financial education (FinED) into the national syllabi so that financial education is now fully integrated into the core curriculum and the syllabi will undergo a full year of implementation in 2015.
2014年9月，安全理事会在美利坚合众国总统巴拉克·奥巴马主持的政府首脑级会议上，为应对外国恐怖主义战斗人员构成的新的严重威胁，通过了第2178(2014)号决议。	In September 2014, the Security Council, at a summit at the level of Heads of Government chaired by the President of the United States of America, Barack Obama, adopted resolution 2178 (2014) to respond to the acute and emerging threat posed by foreign terrorist fighters.
北塞浦路斯所有机场均完全符合国际标准，并对其进行了必要投资以跟上技术发展。	All airports in Northern Cyprus are in full conformity with international standards and necessary investments have been made to keep up with the developing technology.
行预咨委会建议，大会请秘书长在其下一次概览报告中，报告有关上述信息技术安全和服务管理框架的工作，包括详细说明框架与信息和通信技术厅正在实施的联合国信息安全政策和工具的一致性。	It recommends that the Assembly request the Secretary-General to report on the above-mentioned information technology security and service management framework in his next overview report, including details on its alignment with the United Nations information security policy and tools being implemented by the Office of Information and Communications Technology.
注意到巴勒斯坦最近加入了若干人权条约及各项核心人道主义法条约，	Taking note of the recent accession by Palestine to several human rights treaties and the core humanitarian law treaties,
借此机会，我感谢非洲联盟和索马里联邦政府在这方面向联合国提供支持与协助。	I take this opportunity to express my appreciation for the support and assistance provided by the African Union and the Federal Government of Somalia to the United Nations in this regard.
认识到需要立即恢复安全，促进国家可持续和平与稳定，并落实善治、透明管理、尊重人权和维护司法的规则，以及打击有罪不罚的措施，	Recognizing the need to urgently restore security, to promote sustainable peace and stability in the country and to put into practice the rules on good governance, transparent management, respect for human rights and justice, and measures to combat impunity,
过渡期将在本协定签署后立即开始。	An interim period shall begin immediately upon the signing of the present Agreement.
土耳其的行动显然是要通过对塞浦路斯共和国被占领土上空提出所谓的空域权利主张，破坏共和国主权，支持事实分裂的持续并提升分离主义实体的地位。	Turkey's actions are clearly aimed at undermining the sovereignty of the Republic of Cyprus, bolstering the continuing de facto division and upgrading the secessionist entity's status, by claiming a purported airspace over the occupied territory of the Republic.
此外，我谨通知你，土耳其和占领政权就土耳其空军演习事宜非法发出了一份事关3月19、20、23和24日的飞行通报。	Furthermore, I wish to inform you that Turkey and the occupation regime illegally issued a notice to airmen for the dates of 19, 20, 23 and 24 March, relating to exercises of the Turkish Air Force.
6. 如秘书长所指出，设施和基础设施项下所需追加资源是用于在马里北部建造新营地和加强现有营地，加上修建直升机平台上。	6. As indicated by the Secretary-General, the additional requirements under facilities and infrastructure relate to the construction of additional camps and the strengthening of existing camps in northern Mali, together with the construction of helicopter platforms.
9. 由秘书长提议有待大会就2014年7月1日至2015年6月30日期间马里稳定团的经费筹措采取的行动见秘书长的说明(A/69/828)第8段。	9. The proposed action to be taken by the General Assembly in connection with the financing of MINUSMA for the period from 1 July 2014 to 30 June 2015 is indicated in paragraph 8 of the note by the Secretary-General.
14. 在6月1日第1次会议上，不限成员名额政府专家会议审议了议程项目1至6。	14. At its 1st meeting, on 1 June, the Open-ended Meeting of Governmental Experts considered agenda items 1 to 6.
原子能机构密切地经常参与能力建设倡议将对国际努力提供支持，同时避免采取重覆或矛盾的行动。	A close and constant involvement of the IAEA in the Capacity-building Initiative would support the international effort while avoiding the risk of duplicating or conflicting actions.
知识网络	KNOWLEDGE NETWORK
立陶宛共和国境内执行国际制裁的框架是《执行经济制裁和其他国际制裁法》(2004年)确立的。	The framework for the implementation of international sanctions in the Republic of Lithuania is established by the Law on the Implementation of Economic and other International Sanctions (2004).
10. 根据会议安排，选举将按照惯例以无记名投票方式进行。	10. Subject to agreement at the Meeting, in accordance with established practice, the election would be held by secret ballot.
4月，34 000多名叙利亚人因政权部队的阻碍或没收行为而无法得到医治。	In the month of April, over 34,000 Syrians were deprived of treatment as a consequence of hindrance or confiscation by regime forces.
医疗用品和设备的使用继续受到限制，政权施加的限制严重阻碍了医疗用品和设备的及时送达。	Access to medical supplies and equipment continues to be restricted and its timely delivery is severely hindered by regime-imposed limitations.
40. 为克服国家之间的经济差异及其在技术创新和研究能力方面的差距，加强技术转让至关重要，其中涉及在执行本框架过程中促进和协助技能、知识、理念、专门技能和技术从发达国家流入发展中国家的进程。	40. In addressing economic disparity and disparity in technological innovation and research capacity among countries, it is crucial to enhance technology transfer, involving a process of enabling and facilitating flows of skill, knowledge, ideas, know-how and technology from developed to developing countries in the implementation of this Framework.
62. 马里各方之间缺乏信任的情况不可避免。	62. Inevitably, there is a deficit of trust between the Malian parties.
虽然一些特定产品的价格可认为是由于稳定团的存在而上涨，但马里稳定团的支出并未引起总体通货膨胀。	MINUSMA expenditure did not generate overall inflation, although the prices of some specific products were perceived to have risen as a consequence of the Mission's presence.
在3月，阿萨德继续利用空袭围困反对派控制的地区和以饥饿逼迫平民就范。	In March, Assad continued to use aerial attacks to besiege opposition-held areas and starve civilians into submission.
叙利亚全国联盟仍然认为，政治解决是在叙利亚创造持久和平的唯一途径。	The Syrian National Coalition continues to believe that a political solution is the only way to create a lasting peace in Syria.
第7416次会议，2015年3月26日举行。	7416th meeting, held on 26 March 2015.
概述为向《不扩散条约》其他缔约国提供关于和平利用核能的技术培训所作的努力。	Summary of efforts to provide technical training on peaceful uses of nuclear energy to other Non-Proliferation Treaty States parties.
对技术合作基金的分摊会费自愿捐助的到位率。	Rate of attainment on assessed voluntary contribution to the Technical Cooperation Fund.
7.18 国际法院法官所需资源共计15 167 600美元，增加了461 200美元，用于支付法官酬金和其他津贴以及前法官和未亡配偶的养恤金。	7.18 Resources relating to the members of the Court totalling $15,167,600 reflect an increase of $461,200 and would cover honorariums and other entitlements of the judges, and the pensions of former judges and surviving spouses.
7.3 2016-2017年期间战略框架没有列入法院和书记官处的活动。	7.3 Neither the activities of the Court nor those of the Registry are covered in the strategic framework for the period 2016-2017.
在2010年审议大会的最后文件中，核武器国家承诺考虑无核武器国家的合法利益，进一步降低核武器系统的战备状态。	3. In the final document of the 2010 Review Conference, the nuclear-weapon States undertook to consider the legitimate interest of non-nuclear-weapon States in further reducing the operational status of nuclear weapons systems.
在这方面应该注意的是，美国总统2013年6月发布的指导性意见承认，"发动一场毁灭性核袭击的可能性十分渺茫"。	It bears noting in this context that United States presidential guidance issued in June 2013 concedes that "the potential for a surprise, disarming nuclear attack is exceedingly remote".
后勤支助干事(P-4)	Logistics Support Officer (P-4)
参加2015年2月25日和26日在摩尔多瓦共和国基希讷乌举行的为执行联合国2015年后发展议程加强能力和建立有效机构全球对话高级别会议的高级代表、专家和与会者，	The high-level representatives, experts and participants attending the High-Level Meeting of the Global Dialogue on Strengthening Capacities and Building Effective Institutions for the Implementation of the Post-2015 Development Agenda, held in Chisinau, Republic of Moldova, on 25 and 26 February 2015,
仅2014年一年，就有61名记者遇害(其中30%为自由职业人员；87%为当地记者)；其中23人死于交火，11人在执行其他危险任务中死亡。	In 2014 alone, 61 journalists were killed (30 per cent were freelances; 87 per cent were local journalists), 23 in crossfire and 11 while on other dangerous assignments.
1个警务干事员额调自喀土穆联络办事处	Police Officer post redeployed from the Khartoum Liaison Office
2005年，蒙古国国家大呼拉尔(议会)核准了蒙古国千年发展目标，并增加了关于"加强人权和促进民主治理"的第9项目标。	In 2005, the State Great Khural (Parliament) of Mongolia endorsed the Mongolian Millennium Development Goals and added a ninth goal on "Strengthening human rights and fostering democratic governance".
公众认识到这些职能的重要性，决策者集中精力进一步加强这一框架。	The public acknowledges the importance of the functions and policymakers focused their efforts on further strengthening the framework.
延期一年是应科特迪瓦政府的请求做出的，以便完成对《2012-2015年国家发展计划》的审查，并利用该审查结果制定新的国家发展计划。	The one-year extension is based on a request by the Government to allow for the finalization of the review of the National Development Plan 2012-2015, and to use the results of this review to formulate a new national development plan.
该国政府提出延期一年的请求，该请求已被转递联合国发展集团西非和中非集团，后者已核准该延期请求。	The request for a one-year extension by the Government was transmitted to the United Nations Development Group Western and Central Africa Group, which in turn approved this extension.
2015年2月25日，维也纳	Vienna, 25 February 2015
7. 根据《条约》第三条规定的义务及据此作出的承诺，阿尔及利亚于1996年同国际原子能机构签订了《全面保障监督协定》。	7. In accordance with its obligations and commitments under article III of the Treaty, in 1996 Algeria concluded a comprehensive safeguards agreement with the International Atomic Energy Agency (IAEA).
阿尔及利亚提交的报告*	Report submitted by Algeria*
此外，氯的发放使大约1 560万人再次获得安全饮水。	In addition, chlorine deliveries allowed some 15.6 million people to regain access to safe water.
59. 非国家武装团体使用迫击炮和火箭攻击大马士革，加剧了大马士革的不安全局势，联合国工作人员的安全状况也随之恶化。	59. Mortar and rocket attacks on Damascus by non-State armed groups led to heightened insecurity in Damascus, including for United Nations staff.
在东部非洲，在全球公民身份教育倡议的框架下为肯尼亚和南苏丹制定了若干倡议。	In Eastern Africa, several initiatives in the framework of the Global Citizenship Education initiative were developed in Kenya and South Sudan.
另请提供资料，介绍缔约国的庇护所数量及其供资性质。	Please also provide information on the number of shelters in the State party and the nature of their funding.
5. 关于报告所述期间适用的暂行特别措施，报告未作记述。	5. The report is silent about temporary special measures applied during the reporting period.
1. 土著问题常设论坛建议经济及社会理事会通过下列决定草案：	1. The Permanent Forum on Indigenous Issues recommends to the Economic and Social Council the adoption of the following draft decisions:
犹太社区受害尤甚。	The Jewish Community has been particularly targeted.
53. 在原子能机构建议的设备得到部署之后，核保安综合支助计划的概念和执行成为古巴与原子能机构协调合作的积极示范，同时确保不断加强可能涉及核材料与放射性材料预防、监测以及应对有害行为或恐怖行为的体系。	53. The conception and implementation of the Integrated Nuclear Security Support Plan, with the deployment of equipment recommended by IAEA, provides a positive example of collaboration between Cuba and the Agency, ensuring ongoing strengthening of the systems of prevention, detection and response to injurious or terrorist acts that might involve nuclear and radioactive materials.
古巴将继续与《条约》其他缔约国共同合作，以尽快实现全面禁止和彻底消除核武器。	Cuba will continue to work with the other States parties to the Treaty to bring about the prohibition and total elimination of nuclear weapons as soon as possible.
该P-4级调查干事还将向调查队提供战术情报支持，特别是在较为复杂的案件中，并将向在内罗毕的首席调查干事报告工作情况。	The P-4 Investigations Officer would also provide tactical intelligence support to investigation teams, particularly in more complex cases, and would report to the Chief Investigations Officer in Nairobi.
43. 为了建设防止与选举有关的暴力的能力，职员学院继续提供关于预防选举暴力的培训课程。	43. In order to build capacity in preventing election-related violence, the College continued to offer its training course on electoral violence prevention.
整个系统的工作人员必须具备一种共同的技能和认识基础，将其规范、标准制订和业务层面的工作联系起来。	Across the system, staff must be equipped with a common foundation of skills and understanding to link the normative, standard-setting and operational dimensions of their work.
临时议程和说明	Provisional agenda and annotations
32. 在任何购买决定之外，联塞部队还表明在总共103部租用车辆中，7部目前按战略部署储备而应以联合国所属车辆替换，使总租用车辆数达到96辆。	32. Independently of any purchase decision, the Force indicates that out of a total of 103 rented vehicles, 7 are currently due to be replaced by United Nations-owned vehicles from the strategic deployment stock, bringing the total number of rented vehicles to 96 vehicles.
不结盟运动强调，蒙古的无核武器地位进一步制度化将是加强亚太区域核不扩散机制的重要步骤。	The Non-Aligned Movement has underlined that the further institutionalization of that status would be an important step towards strengthening the non-proliferation regime in the Asia-Pacific region.
10. 审议和通过委员会提交大会第七十届会议的报告。	10. Consideration and adoption of the report of the Committee to the General Assembly at its seventieth session.
2015年4月27日至5月8日	27 April-8 May 2015
就地安置或重新安置方面取得的进展不应导致回返权的丧失。	Progress made with respect to integration, locally or by resettlement, does not result in a loss of the right of return.
把提供住房与农业用地相结合的农村住房项目等其他努力，增加了住房选择。	Other efforts, such as rural housing projects, which combine the provision of shelter with agricultural land, have expanded the housing options.
塔克菲里恐怖主义组织继续攻击叙利亚的教育机构，对学生、教师及员工犯下野蛮罪行。	Takfirist terrorist groups continue their attacks on Syrian educational institutions, targeting the students, teachers and staff of those institutions with their savage criminal acts.
8. 营养方案规划(评价综合研究)	Nutrition programming (Evaluation Synthesis)
与此截然相反的是，阿根廷共和国继续奉行与福克兰群岛岛民敌对的政策。	In stark contrast, the Republic of Argentina continues its policy of hostility towards the Falkland Islanders.
塞内加尔代表非洲集团提出的关于根据《蒙特利尔议定书》规范氢氟碳化合物生产和消费的流程的提案	Proposal by Senegal on behalf of the African Group on the process to regulate the production and consumption of hydrofluorocarbons under the Montreal Protocol
根据1990年8月23日《亚美尼亚独立宣言》和《亚美尼亚共和国宪法》，	Based on the Declaration of Independence of Armenia of 23 August 1990 and the Constitution of the Republic of Armenia,
当天晚些时候，在埃里温的亚美尼亚人遭受灭绝种族大屠杀纪念中心，萨尔基相总统在肃穆的敬献花圈仪式上宣读了《宣言》全文。	Later that day, President Serzh Sargsyan read the full text of the Declaration during a sombre wreath-laying ceremony at the Armenian Genocide Memorial Complex in Yerevan.
根据《联合国和国际刑事法院间关系协定》第17条第3款，国际刑事法院院长在信中转递该预审分庭作出的裁决，并请其转交安全理事会。	In his letter, the President of the International Criminal Court transmits a copy of the Pre-Trial Chamber's decision for onward transmission to the Security Council, pursuant to article 17, paragraph 3, of the Relationship Agreement between the United Nations and the International Criminal Court.
12. 此外，听完检察官2013年6月5日第十七次向安理会通报情况后，苏丹代表明确指出，"检察官要求[苏丹政府]执行对[奥马尔·巴希尔]和苏丹其他官员的逮捕令是令人不可接受的，因为逮捕令依据的是错误的逻辑，以错误为依据的东西本身肯定是错误的。	12. Further, in response to the Prosecutor's seventeenth briefing to the SC on 5 June 2013, the Sudanese representative expressly stated that the "Prosecutor's demand that [the Sudanese government] implement the arrest warrants issued against [Omar Al Bashir] and other Sudanese officials is unacceptable because it is based on faulty logic [and] [w]hat is based on wrong is of necessity wrong itself".
委内瑞拉玻利瓦尔共和国政府已多次明确无误地表示希望能在尊重、国家主权平等和互不干涉内政基础上与美利坚合众国政府保持友好对话，而尊重、国家主权平等和互不干涉内政是载列于《联合国宪章》的原则，也是国际和平与安全的核心。	The Government of the Bolivarian Republic of Venezuela has on numerous occasions expressed its unequivocal desire to maintain a fraternal dialogue with the Government of the United States of America on the basis of respect, the sovereign equality of States and non-interference in their internal affairs, principles that are enshrined in the Charter of the United Nations and central to international peace and security.
财务干事	Finance Officer
694. 有待大会采取的行动如下：	694. The actions to be taken by the General Assembly are as follows:
本年度最终结果如何将取决于会员国是否能在本年度剩余时间里全面履行对本组织的财政义务。	The final outcome of the year will depend on Member States meeting their financial obligations to the Organization in full during the remainder of the year.
布隆迪政府愿意与布隆迪人民进行对话，特别是像往常一样在政党、国际社会及该区域各国的论坛上进行对话，讨论化解目前危机的方向。	The Government of Burundi is open to dialogue with Burundians, especially, as usual, within the forum of political parties, the international community and countries in the region, on the way forward to address the current crisis.
鉴于小岛屿发展中国家的特殊情况，迫切需要在减少灾害风险领域落实《小岛屿发展中国家快速行动方式》(《萨摩亚途径》) 的成果，以此建设抗灾能力并提供特别支持。	Given the special case of small island developing States, there is a critical need to build resilience and to provide particular support through the implementation of the outcome of the SIDS Accelerated Modalities of Action (SAMOA) Pathway in the area of disaster risk reduction.
各项战略必须具体，并为增强青年妇女的权能提供资源，以便其在社会经济和教育结构中发挥积极主动的作用。	It is essential that strategies be specific and provide resources to empower young women to play such a proactive role in the socioeconomic and educational structures.
暴力极端主义团体招募自认为没有前途的失业青年，比招募有工作的青年来得容易。	It is easier for violent extremist groups to recruit unemployed youth who see no future for themselves than employed youth.
尽管这些领土在过去两年里都没有参加委员会的活动，但蒙特塞拉特参加了该委员会的加勒比小组在过去10年举办的区域林业研讨会。	While none of those Territories had participated in the activities of the Commission in the past two years, Montserrat has participated in some of the regional forestry workshops organized by the Caribbean Subgroup of the Commission over the past 10 years.
二. 各专门机构和与联合国有联系的国际组织对非自治领土的支持	II. Support provided to Non-Self-Governing Territories by the specialized agencies and international organizations associated with the United Nations
伊朗在《条约》生效之前即已批准了《条约》，并尽早缔结了《保障监督协定》，这清楚地显示了伊朗对这项文书目标的长期支持和承诺。	The ratification of the Treaty before its entry into force and the early conclusion of the safeguards agreement with the Agency by Iran clearly demonstrate its long-standing support and commitment to the objectives of this instrument.
安全理事会团结一致，采取协调行动，本机构就能有助于恢复叙利亚的和平与稳定。	Through the concerted actions of a united Security Council, this institution can help to restore peace and stability to Syria.
对大马士革农村省的扎布达尼投放了10枚桶装炸弹，而战机对东姑塔的卡夫尔巴特纳进行了空袭。	In Rif Dimashq governorate, 10 barrel bombs were deployed on Zabdani, while warplanes raided Kafr Batna in eastern Ghouta.
8.6 委员会进一步指出，根据国际人权法，不驱回原则规定各国有义务避免将个人遣返到其人权可能遭受严重侵害，尤其是被任意剥夺自由或遭到酷刑或其他残忍、不人道或有辱人格的待遇或处罚的地方。	8.6 The Committee further notes that, under international human rights law, the principle of non-refoulement imposes a duty on States to refrain from returning a person to a jurisdiction in which he or she may face serious violations of human rights, notably arbitrary deprivation of life or torture or other cruel, inhuman or degrading treatment or punishment.
5.4 提交人注意到，缔约国的意见仅限于可否受理问题，未就案件实质发表任何意见。	5.4 The author observes that the State party's observations were limited to the issue of admissibility and that no comment was made on the merits of the case.
也位于军事设施中的一个转化厂已置于巴西-阿根廷机构和原子能机构的防范制度之下，该厂目前正在进行测试以确定各项流程参数。	A conversion plant, also located in military installations and presently under tests for determination of process parameters, is already subject to Brazilian-Argentine Agency and IAEA safeguards.
巴西继续以双边方式和以《特拉特洛尔科条约》缔约国的身份，呼吁核武器国家审查其在这一问题的立场，以期向无核武器区成员国提供不使用核武器的明确保证。	Brazil, both bilaterally and as a State party to the Treaty of Tlatelolco, continues to call upon the nuclear-weapon States to review their position on this issue, with a view to providing the members of such zones with unequivocal assurances against the use of nuclear weapons.
谈判在艰难的气氛中进行，同时俄罗斯与其在茨欣瓦利的占领政权却正在莫斯科签署所谓的"联盟与一体化条约"。	Negotiations were held in a difficult atmosphere, while in parallel the so-called "treaty on alliance and integration" was being signed in Moscow between Russia and its occupation regime in Tskhinvali.
被拘留者及其律师没有辩护的权利。	Detainees and their lawyers do not have the right to self-defence.
24. 塞库莱法官和居内伊法官在对指派给他们的最后一宗案件 -- -- 前南斯拉夫问题国际刑事法庭托利米尔案作出上诉判决之后，将于2015年4月退职。	24. Judges Sekule and Güney demitted office in April 2015 following delivery of the appeals judgement in the Tolimir case at the International Tribunal for the Former Yugoslavia, which was the last case to which they were assigned.
会员国在有效执行和使用旅客信息预报系统方面面临的一项法律挑战是，在旅客数据收集、保留、传输和使用方面，旅客有权受到法律保护，防止对其隐私的非法或任意干涉(《公民权利和政治权利国际公约》第十七条、《世界人权宣言》第十二条)。	One legal challenge faced by Member States in the effective implementation and use of API concerns the right to be protected by law against unlawful or arbitrary interference with privacy in the context of passenger data collected, retained, transmitted and used (art. 17 of the International Covenant on Civil and Political Rights and art. 12 of the Universal Declaration of Human Rights).
二. 最新发展和新兴趋势	Recent developments and emerging trends
23. 应维护享有获取信息和安全机构工作的透明度的权利，以按照法律和调查程序建立信任和加强社区和安全机构的合作。	23. The right to access to information and transparency regarding the work of the security institutions should be upheld in order to build confidence and enhance cooperation between the community and security institutions, in accordance with the law and investigative procedures.
5. 不可将恐怖主义与任何具体的宗教、国籍、文明或族裔群体联系起来。	5. Terrorism cannot be associated with any particular religion, nationality, civilization or ethnic group.
以色列敌军两架直升机在被占领的沙巴阿农场上空盘旋。	Two Israeli enemy helicopters circled over the occupied Shab`a Farms.
2015年3月9日	9 March 2015
在这方面， 2000年和2010年审议大会的成果文件重申，每个国家在和平使用核能领域的选择和决定应受到尊重，其和平利用核能的政策或国际合作协定与安排及其燃料循环政策也不得受到损害。	In this connection, the outcome documents of the 2000 and 2010 Review Conferences have reiterated that each country's choices and decisions in the field of the peaceful uses of nuclear energy should be respected without jeopardizing its policies or international cooperation agreements and arrangements for the peaceful uses of nuclear energy and its fuel-cycle policies.
在分别收到来自所涉会员国和执行主任的意见后，内审办主任扣留了另外两份报告。	A further two were withheld by the Director of OIAI in 2014, subsequent to comments received from the concerned Member State and the Executive Director, respectively.
2. 资产管理	2. Asset management
Raymond Debelle先生，武器(比利时)	Mr. Raymond Debelle, arms (Belgium)
一架土耳其CN-235军用飞机未经外交许可，也未与尼科西亚空中管制中心联系，即进入尼科西亚飞行情报区和塞浦路斯共和国领空，降落在非法的廷普机场，违反了国际空中交通管制条例并侵犯了塞浦路斯共和国领空。	One CN-235 Turkish military aircraft infringed international air traffic regulations and violated the national airspace of the Republic of Cyprus by entering the Nicosia FIR and the national airspace of the Republic of Cyprus without diplomatic permit or contacting the Nicosia ACC, landing at the illegal airport of Tympou.
4月24日	24 April
大韩民国致力于通过开展辐射研究活动，以及通过提供教育和培训方案，为全球社会作出贡献。	The Republic of Korea is committed to contributing to the global community by conducting radiation research activities and providing education and training programs.
28. 国际原子能机构在2014年2月派出国际实物保护咨询服务处（实物保护咨询处）特派团，为期两周，负责审查大韩民国核和其他放射性材料及相关设施以及安保安排与核安保有关的法律和监管框架。	28. A two-week International Physical Protection Advisory Service (IPPAS) mission was conducted in February 2014 by the IAEA to review the nation's nuclear security-related legislative and regulatory framework for nuclear and other radioactive material and associated facilities as well as security arrangements.
妇女地位委员会第六十届会议临时议程和文件	Provisional agenda and documentation for the sixtieth session of the Commission on the Status of Women
对此前据称袭击事件进行的抽样测试确定无疑地证实，在伊德利布平民区使用了高浓度氯气。	Sample testing of earlier alleged attacks definitively proves the use of highly concentrated chlorine in civilian-occupied areas of Idlib.
6. 法律和政策框架，包括有关权威数据的问题。	6. Legal and policy frameworks, including issues related to authoritative data.
8. 整合地理空间、统计和其他信息。	8. Integration of geospatial, statistical and other information.
我们商定探索各种可能方式来进一步加强彼此的经济协同作用，以期创造一个更加有利于增长的经济环境，应对迅速变化的国际经济局势带来的挑战，共同受益于本区域出现的重要机遇。	We agreed to explore all possibilities to further enhance the synergies among our economies, with a view to creating a more positive economic environment for growth, to tackle the challenges of a rapidly changing international economic situation and to jointly benefit from important opportunities arising in our region.
下文表13.3列出这些经	Table 13.3 below shows the United States dollar equivalent of those requirements expressed at the United Nations exchange rate of 0.950 Swiss francs to the United States dollar.
17时20分，敌军工作结束。	At 1720 hours, the enemy army finished its activities.
这架侦察机在南部上空盘旋，后于18时45分从Naqurah上空飞离。	It circled over the South before leaving at 1845 hours over Naqurah.
胡塞人其后在效忠前总统萨利赫将军及其儿子艾哈迈德·阿里·萨利赫的军事部队的协助下又一次向亚丁发起进攻。	The Houthis then launched another offensive towards Aden assisted by military units loyal to former president Saleh and his son, Ahmed Ali Saleh.
委员会支持人口基金的道德操守职能，因为这能够形成道德、诚信和问责的文化。	The Committee supports the ethics function in UNFPA, which fosters a culture of ethics, integrity and accountability.
审计咨询委员会认为：	The Audit Advisory Committee considers that:
行预咨委会建议核准军事和警务人员2015年拟议资源。	The Advisory Committee recommends the approval of the resources proposed for military and police personnel for 2015.
开发署还支持开展土地开发活动，以确保可持续使用土地。	It also supported land development activities to ensure the sustainable use of land.
秘书长报告第二节介绍了监督团所有资产的实际处置情况。	Information on the actual disposition of all assets of the Mission is provided in section II of the Secretary-General's report.
50. 在Nubul和Zahra，约有26 500人仍被非国家武装团体围困。	50. In Nubul and Zahra, about 26,500 people remain besieged by non-State armed groups.
